일련번호,주소,동,층,호수,동호수,전체주소,면적,지목,소유자명,주민번호,성별,연령대,소유형태,지분,소유자주소,거주투자구분,투자자거주지역,등기원인,등기일자,접수번호,근저당권유무,대출총액,근저당권자,근저당설정일,근저당접수번호,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
298,서울시 용산구 이태원동 22-2,4동,7,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,박순자,550801-2******,여성,60대,단독소유,단독소유,서울시 강남구 삼성동 196-66,투자 목적,서울,증여,2024-03-26,제67562호,Y,642070000,신한은행,2019-05-27,제15776호,N,,,,
299,서울시 용산구 이태원동 22-2,4동,7,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,조예준,501103-2******,여성,70대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 4동105호,실거주,-,증여,2015-11-17,제52660호,Y,654890000,신한은행,2011-10-11,제40807호,N,,,,
300,서울시 용산구 이태원동 22-2,4동,7,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,김주원,471107-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동106호,실거주,-,매매,2006-12-25,제62340호,Y,494870000,우리은행,2011-08-05,제11464호,N,,,,
301,서울시 용산구 이태원동 22-2,4동,7,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,장민준,740614-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동107호,실거주,-,증여,1983-10-10,제62912호,Y,381320000,기업은행,2011-10-11,제75887호,N,,,,
302,서울시 용산구 이태원동 22-2,4동,8,101호,4동101호,서울시 중랑구 면목동 110-1 청하아파트 4동101호,154,대,김지호,571024-1******,남성,60대,단독소유,단독소유,서울시 송파구 역삼동 358-6,투자 목적,서울,증여,2003-07-03,제50659호,Y,921970000,우리은행,2024-07-19,제45200호,N,,,,
303,서울시 용산구 이태원동 22-2,4동,8,102호,4동102호,서울시 중랑구 면목동 110-1 청하아파트 4동102호,154,대,임서준,510812-1******,남성,70대,공유자,2분의 1,서울시 서초구 역삼동 640-13,투자 목적,서울,매매,2021-01-12,제79431호,Y,626420000,신한은행,2013-06-13,제5864호,N,,,,
304,서울시 용산구 이태원동 22-2,4동,8,103호,4동103호,서울시 중랑구 면목동 110-1 청하아파트 4동103호,154,대,윤도윤,640712-1******,남성,60대,단독소유,단독소유,서울시 강남구 역삼동 707-77,투자 목적,서울,경매,2016-08-28,제30364호,N,0,,,,N,,,,
305,서울시 용산구 이태원동 22-2,4동,8,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,임예준,610816-1******,남성,60대,단독소유,단독소유,서울시 송파구 역삼동 41-10,투자 목적,서울,경매,2022-09-11,제77908호,Y,256280000,신한은행,2018-09-22,제65664호,N,,,,
306,서울시 용산구 이태원동 22-2,4동,8,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,윤지호,600204-1******,남성,60대,단독소유,단독소유,서울시 강남구 삼성동 948-94,투자 목적,서울,상속,2025-01-09,제19951호,Y,927750000,우리은행,2021-05-25,제7367호,N,,,,
307,서울시 용산구 이태원동 22-2,4동,8,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,조하준,620312-2******,여성,60대,단독소유,단독소유,서울시 서초구 삼성동 368-14,투자 목적,서울,증여,2014-05-17,제91918호,Y,184550000,우리은행,2013-08-01,제81147호,N,,,,
308,서울시 용산구 이태원동 22-2,4동,8,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,윤하준,700626-1******,남성,50대,단독소유,단독소유,서울시 서초구 삼성동 969-56,투자 목적,서울,증여,1983-03-18,제74159호,Y,208160000,신한은행,2014-09-29,제88268호,N,,,,
309,서울시 용산구 이태원동 22-2,4동,9,101호,4동101호,서울시 중랑구 면목동 110-1 청하아파트 4동101호,154,대,박예준,790501-2******,여성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동101호,실거주,-,경매,2013-09-16,제3400호,Y,708440000,하나은행,2011-05-29,제34531호,N,,,,
310,서울시 용산구 이태원동 22-2,4동,9,102호,4동102호,서울시 중랑구 면목동 110-1 청하아파트 4동102호,154,대,장도윤,460806-2******,여성,70대,단독소유,단독소유,경기도 고양시 분당구 정자동 12-37,투자 목적,경기,상속,2005-04-07,제48632호,N,0,,,,N,,,,
311,서울시 용산구 이태원동 22-2,4동,9,103호,4동103호,서울시 중랑구 면목동 110-1 청하아파트 4동103호,154,대,이영자,700508-2******,여성,50대,단독소유,단독소유,강원도 춘천시 퇴계동 839-69,투자 목적,강원,경매,2015-07-18,제52544호,N,0,,,,N,,,,
312,서울시 용산구 이태원동 22-2,4동,9,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,강지호,691016-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동104호,실거주,-,매매,2007-04-19,제34292호,Y,665320000,신한은행,2014-12-23,제77902호,N,,,,
313,서울시 용산구 이태원동 22-2,4동,9,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,윤시우,610615-2******,여성,60대,단독소유,단독소유,서울시 서초구 삼성동 92-45,투자 목적,서울,증여,2005-03-17,제59239호,Y,782930000,하나은행,2016-08-25,제81678호,N,,,,
314,서울시 용산구 이태원동 22-2,4동,9,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,장민준,720304-1******,남성,50대,단독소유,단독소유,서울시 강남구 삼성동 146-38,투자 목적,서울,경매,2022-02-18,제43288호,Y,683750000,우리은행,2013-04-22,제96756호,N,,,,
315,서울시 용산구 이태원동 22-2,4동,9,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,임영자,711206-1******,남성,50대,단독소유,단독소유,경기도 고양시 분당구 정자동 449-48,투자 목적,경기,증여,2012-12-07,제88927호,N,0,,,,N,,,,
316,서울시 용산구 이태원동 22-2,4동,10,101호,4동101호,서울시 중랑구 면목동 110-1 청하아파트 4동101호,154,대,김민준,630208-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동101호,실거주,-,상속,2023-09-23,제28537호,N,0,,,,N,,,,
317,서울시 용산구 이태원동 22-2,4동,10,102호,4동102호,서울시 중랑구 면목동 110-1 청하아파트 4동102호,154,대,장영희,560707-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동102호,실거주,-,상속,2008-03-27,제51283호,N,0,,,,Y,압류,2023-05-22,제57327호,서울시
318,서울시 용산구 이태원동 22-2,4동,10,103호,4동103호,서울시 중랑구 면목동 110-1 청하아파트 4동103호,154,대,이순자,641114-1******,남성,60대,단독소유,단독소유,서울시 송파구 역삼동 427-12,투자 목적,서울,상속,2020-01-17,제90911호,Y,797530000,우리은행,2018-08-07,제31249호,N,,,,
319,서울시 용산구 이태원동 22-2,4동,10,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,박순자,511217-1******,남성,70대,단독소유,단독소유,서울시 송파구 삼성동 175-28,투자 목적,서울,상속,2021-10-26,제23486호,Y,610390000,기업은행,2015-07-06,제77889호,N,,,,
320,서울시 용산구 이태원동 22-2,4동,10,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,김민서,******-*******,남성,미분류,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 4동105호,실거주,-,상속,2021-08-13,제92034호,Y,648250000,신한은행,2015-03-30,제76408호,N,,,,
321,서울시 용산구 이태원동 22-2,4동,10,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,김순자,740324-1******,남성,50대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 4동106호,실거주,-,증여,2014-09-03,제76021호,Y,982980000,우리은행,2014-09-20,제66582호,Y,압류,2023-01-18,제35102호,서울시
322,서울시 용산구 이태원동 22-2,4동,10,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,박도윤,800519-2******,여성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동107호,실거주,-,매매,2010-03-04,제83994호,N,0,,,,N,,,,
323,서울시 용산구 이태원동 22-2,4동,11,101호,4동101호,서울시 중랑구 면목동 110-1 청하아파트 4동101호,154,대,최민서,711005-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동101호,실거주,-,상속,2006-10-16,제10853호,Y,672720000,기업은행,2016-06-06,제62877호,N,,,,
324,서울시 용산구 이태원동 22-2,4동,11,102호,4동102호,서울시 중랑구 면목동 110-1 청하아파트 4동102호,154,대,이순자,610709-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동102호,실거주,-,상속,2013-11-23,제80762호,N,0,,,,N,,,,
325,서울시 용산구 이태원동 22-2,4동,11,103호,4동103호,서울시 중랑구 면목동 110-1 청하아파트 4동103호,154,대,정하준,400322-2******,여성,80대,단독소유,단독소유,"9813 Main St, Los Angeles, CA, USA",투자 목적,미국,경매,2011-04-24,제19659호,N,0,,,,N,,,,
326,서울시 용산구 이태원동 22-2,4동,11,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,정하준,620615-1******,남성,60대,공유자,3분의 1,경기도 고양시 분당구 정자동 791-65,투자 목적,경기,증여,2012-05-10,제28460호,Y,241690000,우리은행,2014-03-05,제29735호,N,,,,
327,서울시 용산구 이태원동 22-2,4동,11,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,강지호,740901-2******,여성,50대,단독소유,단독소유,서울시 송파구 삼성동 697-98,투자 목적,서울,매매,2012-08-12,제9215호,Y,448400000,기업은행,2011-02-20,제82251호,N,,,,
328,서울시 용산구 이태원동 22-2,4동,11,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,장시우,840401-1******,남성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동106호,실거주,-,매매,2019-04-12,제51165호,Y,553700000,기업은행,2020-02-16,제71569호,N,,,,
329,서울시 용산구 이태원동 22-2,4동,11,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,김시우,521213-1******,남성,70대,공유자,3분의 1,서울시 강남구 역삼동 160-8,투자 목적,서울,증여,2017-10-27,제94374호,N,0,,,,N,,,,
330,서울시 용산구 이태원동 22-2,4동,12,101호,4동101호,서울시 중랑구 면목동 110-1 청하아파트 4동101호,154,대,김순자,630809-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동101호,실거주,-,매매,2011-11-26,제66747호,N,0,,,,N,,,,
331,서울시 용산구 이태원동 22-2,4동,12,102호,4동102호,서울시 중랑구 면목동 110-1 청하아파트 4동102호,154,대,조주원,321016-1******,남성,90대,단독소유,단독소유,서울시 강남구 삼성동 341-54,투자 목적,서울,상속,2019-06-01,제6777호,Y,184490000,우리은행,2019-11-17,제60674호,N,,,,
332,서울시 용산구 이태원동 22-2,4동,12,103호,4동103호,서울시 중랑구 면목동 110-1 청하아파트 4동103호,154,대,윤시우,940913-1******,남성,30대,단독소유,단독소유,서울시 강남구 역삼동 995-93,투자 목적,서울,상속,2021-08-27,제71286호,N,0,,,,N,,,,
333,서울시 용산구 이태원동 22-2,4동,12,104호,4동104호,서울시 중랑구 면목동 110-1 청하아파트 4동104호,154,대,최영희,761214-1******,남성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동104호,실거주,-,상속,2023-07-14,제62977호,N,0,,,,N,,,,
334,서울시 용산구 이태원동 22-2,4동,12,105호,4동105호,서울시 중랑구 면목동 110-1 청하아파트 4동105호,154,대,조영희,591124-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동105호,실거주,-,증여,2013-06-02,제19381호,Y,491670000,기업은행,2018-05-06,제37215호,N,,,,
335,서울시 용산구 이태원동 22-2,4동,12,106호,4동106호,서울시 중랑구 면목동 110-1 청하아파트 4동106호,154,대,김민서,581107-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동106호,실거주,-,경매,2013-09-06,제29201호,Y,161290000,우리은행,2024-08-24,제58224호,N,,,,
336,서울시 용산구 이태원동 22-2,4동,12,107호,4동107호,서울시 중랑구 면목동 110-1 청하아파트 4동107호,154,대,최민준,730219-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 4동107호,실거주,-,매매,2022-03-26,제93659호,N,0,,,,N,,,,
337,서울시 용산구 이태원동 22-2,5동,1,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,장예준,830601-1******,남성,40대,단독소유,단독소유,서울시 강남구 삼성동 180-88,투자 목적,서울,상속,2021-09-14,제65643호,Y,722070000,기업은행,2012-05-19,제82435호,N,,,,
338,서울시 용산구 이태원동 22-2,5동,1,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,박예준,480817-2******,여성,70대,단독소유,단독소유,강원도 춘천시 퇴계동 492-33,투자 목적,강원,경매,2003-08-27,제43285호,Y,605500000,신한은행,2019-08-08,제93353호,N,,,,
339,서울시 용산구 이태원동 22-2,5동,1,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,윤지호,740628-1******,남성,50대,단독소유,단독소유,서울시 서초구 삼성동 436-86,투자 목적,서울,상속,2004-08-15,제7776호,N,0,,,,N,,,,
340,서울시 용산구 이태원동 22-2,5동,1,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,박민서,490707-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동104호,실거주,-,상속,1995-12-19,제82228호,N,0,,,,N,,,,
341,서울시 용산구 이태원동 22-2,5동,1,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,장지호,******-*******,여성,미분류,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동105호,실거주,-,증여,2016-05-06,제9907호,Y,704870000,국민은행,2012-10-20,제58744호,N,,,,
342,서울시 용산구 이태원동 22-2,5동,2,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,임예준,451008-1******,남성,70대,단독소유,단독소유,서울시 강남구 삼성동 620-20,투자 목적,서울,경매,2017-05-27,제13790호,N,0,,,,N,,,,
343,서울시 용산구 이태원동 22-2,5동,2,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,김서연,421022-2******,여성,80대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,경매,2011-06-13,제79057호,N,0,,,,N,,,,
344,서울시 용산구 이태원동 22-2,5동,2,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,이지호,601012-2******,여성,60대,단독소유,단독소유,서울시 송파구 역삼동 711-46,투자 목적,서울,증여,2024-06-25,제28428호,Y,333260000,국민은행,2024-05-28,제18090호,N,,,,
345,서울시 용산구 이태원동 22-2,5동,2,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,김하준,670128-1******,남성,50대,단독소유,단독소유,대전시 유성구 봉명동 862-68,투자 목적,대전,상속,2020-04-07,제37873호,Y,196750000,국민은행,2021-12-16,제53058호,Y,압류,2023-06-13,제38805호,서울시
346,서울시 용산구 이태원동 22-2,5동,2,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,김서연,590203-2******,여성,60대,공유자,2분의 1,서울시 송파구 역삼동 71-74,투자 목적,서울,매매,2024-05-19,제13940호,Y,498390000,기업은행,2012-11-24,제48060호,N,,,,
347,서울시 용산구 이태원동 22-2,5동,3,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,임영희,470401-2******,여성,70대,단독소유,단독소유,경기도 고양시 분당구 정자동 820-33,투자 목적,경기,상속,2024-05-04,제86508호,N,0,,,,N,,,,
348,서울시 용산구 이태원동 22-2,5동,3,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,조예준,390522-2******,여성,80대,단독소유,단독소유,서울시 송파구 삼성동 553-2,투자 목적,서울,경매,2000-08-14,제74531호,N,0,,,,N,,,,
349,서울시 용산구 이태원동 22-2,5동,3,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,이시우,830301-2******,여성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동103호,실거주,-,증여,2015-01-14,제89610호,Y,990780000,신한은행,2022-09-27,제94479호,N,,,,
350,서울시 용산구 이태원동 22-2,5동,3,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,박영희,751017-1******,남성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동104호,실거주,-,경매,2023-06-18,제62346호,N,0,,,,N,,,,
351,서울시 용산구 이태원동 22-2,5동,3,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,최민준,730506-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동105호,실거주,-,경매,1992-07-06,제75733호,Y,613470000,신한은행,2014-05-22,제58014호,N,,,,
352,서울시 용산구 이태원동 22-2,5동,4,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,정시우,680328-1******,남성,50대,단독소유,단독소유,서울시 강남구 삼성동 619-82,투자 목적,서울,경매,2002-11-07,제92893호,N,0,,,,N,,,,
353,서울시 용산구 이태원동 22-2,5동,4,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,최민서,570314-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,상속,1999-05-09,제72765호,Y,282160000,우리은행,2020-10-21,제76103호,N,,,,
354,서울시 용산구 이태원동 22-2,5동,4,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,최영자,580415-2******,여성,60대,단독소유,단독소유,서울시 서초구 역삼동 462-60,투자 목적,서울,증여,2015-08-06,제84737호,N,0,,,,N,,,,
355,서울시 용산구 이태원동 22-2,5동,4,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,이시우,730326-2******,여성,50대,단독소유,단독소유,서울시 송파구 삼성동 429-70,투자 목적,서울,증여,2020-09-27,제91327호,N,0,,,,N,,,,
356,서울시 용산구 이태원동 22-2,5동,4,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,김민준,630105-2******,여성,60대,단독소유,단독소유,서울시 서초구 삼성동 738-77,투자 목적,서울,경매,2014-06-19,제35851호,Y,870480000,하나은행,2021-07-19,제34064호,N,,,,
357,서울시 용산구 이태원동 22-2,5동,5,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,강서연,580708-2******,여성,60대,단독소유,단독소유,서울시 강남구 삼성동 422-5,투자 목적,서울,상속,2023-11-10,제5085호,N,0,,,,N,,,,
358,서울시 용산구 이태원동 22-2,5동,5,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,이시우,590109-1******,남성,60대,단독소유,단독소유,"5982 Main St, Los Angeles, CA, USA",투자 목적,미국,상속,2020-09-10,제13107호,Y,674040000,국민은행,2018-02-19,제10634호,N,,,,
359,서울시 용산구 이태원동 22-2,5동,5,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,윤도윤,730611-2******,여성,50대,단독소유,단독소유,서울시 서초구 삼성동 911-61,투자 목적,서울,경매,1997-06-05,제70795호,Y,107530000,기업은행,2018-07-14,제82286호,N,,,,
360,서울시 용산구 이태원동 22-2,5동,5,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,최영희,610509-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동104호,실거주,-,경매,2011-02-10,제85815호,Y,466890000,국민은행,2013-06-13,제5550호,N,,,,
361,서울시 용산구 이태원동 22-2,5동,5,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,강영희,650828-2******,여성,50대,공유자,2분의 1,서울시 송파구 삼성동 229-71,투자 목적,서울,증여,2017-12-22,제99719호,Y,972160000,국민은행,2017-07-10,제77118호,N,,,,
362,서울시 용산구 이태원동 22-2,5동,6,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,윤순자,670222-2******,여성,50대,공유자,3분의 1,서울시 서초구 역삼동 82-78,투자 목적,서울,상속,2002-06-28,제74394호,Y,957020000,국민은행,2019-09-01,제29876호,N,,,,
363,서울시 용산구 이태원동 22-2,5동,6,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,장서준,570210-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,상속,2024-04-04,제3485호,N,0,,,,N,,,,
364,서울시 용산구 이태원동 22-2,5동,6,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,이하준,301115-2******,여성,90대,단독소유,단독소유,서울시 송파구 역삼동 93-18,투자 목적,서울,매매,2014-06-25,제81811호,Y,227730000,국민은행,2024-03-03,제42906호,N,,,,
365,서울시 용산구 이태원동 22-2,5동,6,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,임서연,711113-2******,여성,50대,단독소유,단독소유,서울시 서초구 역삼동 36-53,투자 목적,서울,경매,2014-02-12,제37067호,Y,882910000,우리은행,2016-04-17,제35437호,N,,,,
366,서울시 용산구 이태원동 22-2,5동,6,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,이시우,560617-1******,남성,60대,단독소유,단독소유,서울시 서초구 역삼동 643-83,투자 목적,서울,경매,1997-09-13,제19787호,N,0,,,,N,,,,
367,서울시 용산구 이태원동 22-2,5동,7,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,김영희,830723-2******,여성,40대,단독소유,단독소유,서울시 서초구 삼성동 839-21,투자 목적,서울,상속,2016-02-02,제75510호,N,0,,,,N,,,,
368,서울시 용산구 이태원동 22-2,5동,7,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,임민서,410524-1******,남성,80대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,증여,2025-07-02,제49401호,Y,499250000,신한은행,2015-06-28,제33528호,N,,,,
369,서울시 용산구 이태원동 22-2,5동,7,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,장예준,760221-2******,여성,40대,단독소유,단독소유,서울시 서초구 역삼동 590-47,투자 목적,서울,증여,2001-02-11,제83059호,Y,913310000,신한은행,2022-05-14,제69788호,N,,,,
370,서울시 용산구 이태원동 22-2,5동,7,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,박예준,800822-2******,여성,40대,단독소유,단독소유,서울시 서초구 역삼동 217-23,투자 목적,서울,상속,2023-08-19,제31997호,Y,641020000,신한은행,2022-01-08,제80443호,N,,,,
371,서울시 용산구 이태원동 22-2,5동,7,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,임시우,751004-2******,여성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동105호,실거주,-,매매,2014-03-02,제64769호,N,0,,,,N,,,,
372,서울시 용산구 이태원동 22-2,5동,8,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,정시우,570105-1******,남성,60대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 5동101호,실거주,-,증여,2020-07-11,제13742호,Y,829710000,국민은행,2022-08-31,제94449호,N,,,,
373,서울시 용산구 이태원동 22-2,5동,8,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,강예준,620407-2******,여성,60대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,상속,2004-09-25,제92643호,Y,776860000,하나은행,2019-06-04,제34702호,N,,,,
374,서울시 용산구 이태원동 22-2,5동,8,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,김민준,351115-1******,남성,80대,단독소유,단독소유,서울시 서초구 역삼동 44-69,투자 목적,서울,상속,2005-10-05,제54493호,Y,173600000,기업은행,2015-08-28,제67831호,N,,,,
375,서울시 용산구 이태원동 22-2,5동,8,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,정영희,630213-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동104호,실거주,-,증여,2008-07-24,제95582호,Y,132770000,하나은행,2017-12-18,제43638호,N,,,,
376,서울시 용산구 이태원동 22-2,5동,8,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,장예준,640314-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동105호,실거주,-,상속,2006-08-08,제24638호,Y,523840000,하나은행,2018-10-01,제35528호,N,,,,
377,서울시 용산구 이태원동 22-2,5동,9,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,정예준,620803-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동101호,실거주,-,매매,2008-09-17,제48427호,N,0,,,,N,,,,
378,서울시 용산구 이태원동 22-2,5동,9,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,정예준,661009-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,경매,2020-05-07,제20610호,Y,919800000,신한은행,2015-09-15,제12469호,N,,,,
379,서울시 용산구 이태원동 22-2,5동,9,103호,5동103호,서울시 중랑구 면목동 110-1 청하아파트 5동103호,185,대,정민준,370802-2******,여성,80대,단독소유,단독소유,서울시 강남구 역삼동 686-88,투자 목적,서울,상속,2023-04-17,제32259호,Y,830070000,하나은행,2019-07-15,제65536호,N,,,,
380,서울시 용산구 이태원동 22-2,5동,9,104호,5동104호,서울시 중랑구 면목동 110-1 청하아파트 5동104호,185,대,임예준,640223-1******,남성,60대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 5동104호,실거주,-,매매,2015-12-10,제62885호,Y,199720000,신한은행,2016-04-03,제35556호,N,,,,
381,서울시 용산구 이태원동 22-2,5동,9,105호,5동105호,서울시 중랑구 면목동 110-1 청하아파트 5동105호,185,대,정영자,640327-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동105호,실거주,-,증여,2017-09-10,제1181호,Y,862380000,신한은행,2014-12-31,제59673호,N,,,,
382,서울시 용산구 이태원동 22-2,5동,10,101호,5동101호,서울시 중랑구 면목동 110-1 청하아파트 5동101호,185,대,임민준,841010-2******,여성,40대,단독소유,단독소유,서울시 강남구 역삼동 192-5,투자 목적,서울,증여,2004-01-01,제46336호,Y,258380000,우리은행,2011-11-11,제17262호,N,,,,
383,서울시 용산구 이태원동 22-2,5동,10,102호,5동102호,서울시 중랑구 면목동 110-1 청하아파트 5동102호,185,대,임도윤,610701-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 5동102호,실거주,-,경매,2023-07-14,제93372호,Y,402420000,신한은행,2024-07-03,제90973호,N,,,,
