순번,소재지,건물명,건축연도,경과년수,전용면적_제곱미터,대지면적_제곱미터,대지권비율,실질대지지분_제곱미터,현소유자,주민번호,현주소,소유권취득일,보유기간_년,이전사유,근저당1_설정일,근저당1_채권최고액,근저당1_채무자,근저당1_근저당권자,근저당2_설정일,근저당2_채권최고액,근저당2_채무자,근저당2_근저당권자,유효근저당총액,유효근저당건수,소유권이전횟수,실거주여부,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
183,서울시 영등포구 여의도동 41,대교아파트 2동 403호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,박현우,660420-1******,"서울시 영등포구 여의도동 41, 102동 403호",2007-04-13,18,상속,2016년12월03일,861880000,박현우,주식회사신한은행,,,,,861880000,1,5,실거주 추정,N,,,,
184,서울시 영등포구 여의도동 41,대교아파트 2동 404호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안서연,780115-1******,서울시 강남구 삼성동 309-83,2008-09-19,17,증여,,0,안서연,,,,,,0,,4,세입자 가능성,N,,,,
185,서울시 영등포구 여의도동 41,대교아파트 2동 405호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안혜진,051026-4******,"서울시 영등포구 여의도동 41, 102동 405호",2006-11-07,18,매매,,0,안혜진,,,,,,0,,0,실거주 추정,N,,,,
186,서울시 영등포구 여의도동 41,대교아파트 2동 406호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,조은서,011012-4******,"서울시 영등포구 여의도동 41, 102동 406호",2018-11-14,6,매매,2020년12월01일,912360000,조은서,주식회사하나은행,,,,,912360000,1,4,실거주 추정,N,,,,
187,서울시 영등포구 여의도동 41,대교아파트 2동 407호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,류예준,030509-3******,"서울시 영등포구 여의도동 41, 102동 407호",2007-02-11,18,매매,2013년05월02일,565120000,류예준,주식회사명동은행,,,,,565120000,1,2,실거주 추정,N,,,,
188,서울시 영등포구 여의도동 41,대교아파트 2동 408호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황영만,020407-3******,"서울시 영등포구 여의도동 41, 102동 408호",2006-06-08,19,매매,2023년10월23일,898880000,황영만,주식회사하나은행,,,,,898880000,1,3,실거주 추정,N,,,,
189,서울시 영등포구 여의도동 41,대교아파트 2동 409호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,이현우,040928-4******,"서울시 영등포구 여의도동 41, 102동 409호",2021-10-07,4,매매,2018년08월26일,800150000,이현우,KB국민은행,,,,,800150000,1,5,실거주 추정,Y,압류,2024년07월02일,제89244호,서울중앙지방법원
190,서울시 영등포구 여의도동 41,대교아파트 2동 410호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,장혜진,041115-3******,서울시 강북구 번동 447-91,2007-02-11,18,상속,2018년02월19일,1247530000,장혜진,주식회사등본은행,,,,,1247530000,1,3,세입자 가능성,N,,,,
191,서울시 영등포구 여의도동 41,대교아파트 2동 411호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,김두산,840705-2******,"서울시 영등포구 여의도동 41, 102동 411호",2008-09-30,17,상속,2014년09월07일,214700000,김두산,KB국민은행,,,,,214700000,1,5,실거주 추정,N,,,,
192,서울시 영등포구 여의도동 41,대교아파트 2동 412호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안혜진,031005-4******,서울시 은평구 응암동 936-33,2012-03-25,13,상속,,0,안혜진,,,,,,0,,2,세입자 가능성,N,,,,
193,서울시 영등포구 여의도동 41,대교아파트 2동 501호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안영만,020701-3******,"서울시 영등포구 여의도동 41, 102동 501호",2022-09-02,3,상속,2015년11월18일,566840000,안영만,주식회사통합은행,,,,,566840000,1,4,실거주 추정,N,,,,
194,서울시 영등포구 여의도동 41,대교아파트 2동 502호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최영희,580207-2******,"서울시 영등포구 여의도동 41, 102동 502호",2014-02-02,11,증여,2011년08월29일,544230000,최영희,KB국민은행,,,,,544230000,1,0,실거주 추정,N,,,,
195,서울시 영등포구 여의도동 41,대교아파트 2동 503호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서용하,000706-3******,"서울시 영등포구 여의도동 41, 102동 503호",2022-01-27,3,증여,2019년02월07일,988450000,서용하,주식회사명동은행,,,,,988450000,1,3,실거주 추정,N,,,,
196,서울시 영등포구 여의도동 41,대교아파트 2동 504호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안수진,960414-2******,서울시 은평구 갈현동 195-26,2006-05-11,19,증여,2013년04월29일,288940000,안수진,주식회사등본은행,,,,,288940000,1,3,세입자 가능성,N,,,,
197,서울시 영등포구 여의도동 41,대교아파트 2동 505호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,홍미경,910324-1******,"서울시 영등포구 여의도동 41, 102동 505호",2014-07-04,11,상속,2015년06월05일,595060000,홍미경,주식회사국민은행,,,,,595060000,1,3,실거주 추정,N,,,,
198,서울시 영등포구 여의도동 41,대교아파트 2동 506호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,정주원,820620-1******,"서울시 영등포구 여의도동 41, 102동 506호",2013-11-24,11,매매,2013년05월10일,843620000,정주원,KB국민은행,,,,,843620000,1,4,실거주 추정,N,,,,
199,서울시 영등포구 여의도동 41,대교아파트 2동 507호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임수진,051006-4******,"서울시 영등포구 여의도동 41, 102동 507호",2019-01-04,6,매매,2020년09월29일,118150000,임수진,주식회사농협은행,,,,,118150000,1,5,실거주 추정,N,,,,
200,서울시 영등포구 여의도동 41,대교아파트 2동 508호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한현우,880427-2******,서울시 관악구 조원동 396-71,2021-11-29,3,상속,,0,한현우,,,,,,0,,2,세입자 가능성,N,,,,
201,서울시 영등포구 여의도동 41,대교아파트 2동 509호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임기태,020704-4******,"서울시 영등포구 여의도동 41, 102동 509호",2006-07-07,19,증여,2013년09월12일,1917600000,임기태,주식회사등본은행,,,,,1917600000,1,3,실거주 추정,N,,,,
202,서울시 영등포구 여의도동 41,대교아파트 2동 510호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송보미,030502-3******,"서울시 영등포구 여의도동 41, 102동 510호",2012-10-11,13,상속,2018년06월07일,127370000,송보미,주식회사등본은행,,,,,127370000,1,2,실거주 추정,N,,,,
203,서울시 영등포구 여의도동 41,대교아파트 2동 511호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강미나,750908-1******,서울시 양천구 신월동 818-1,2020-01-30,5,매매,2019년06월28일,1389120000,강미나,주식회사한솔은행,,,,,1389120000,1,1,세입자 가능성,N,,,,
204,서울시 영등포구 여의도동 41,대교아파트 2동 512호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오혜진,941113-1******,"서울시 영등포구 여의도동 41, 102동 512호",2020-01-16,5,상속,2017년01월24일,954950000,오혜진,주식회사통합은행,,,,,954950000,1,3,실거주 추정,N,,,,
205,서울시 영등포구 여의도동 41,대교아파트 2동 601호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송지우,010927-4******,"서울시 영등포구 여의도동 41, 102동 601호",2012-03-26,13,상속,,0,송지우,,,,,,0,,3,실거주 추정,N,,,,
206,서울시 영등포구 여의도동 41,대교아파트 2동 602호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황서연,000903-3******,"서울시 영등포구 여의도동 41, 102동 602호",2021-04-11,4,증여,2013년04월11일,328240000,황서연,주식회사국민은행,,,,,328240000,1,4,실거주 추정,N,,,,
207,서울시 영등포구 여의도동 41,대교아파트 2동 603호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안지민,021114-3******,"서울시 영등포구 여의도동 41, 102동 603호",2009-05-07,16,증여,2013년08월10일,1107180000,안지민,주식회사명동은행,,,,,1107180000,1,5,실거주 추정,N,,,,
208,서울시 영등포구 여의도동 41,대교아파트 2동 604호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오준서,001212-4******,"서울시 영등포구 여의도동 41, 102동 604호",2020-04-01,5,상속,2015년02월22일,332820000,오준서,주식회사등본은행,,,,,332820000,1,4,실거주 추정,N,,,,
209,서울시 영등포구 여의도동 41,대교아파트 2동 605호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,박두산,570102-1******,"서울시 영등포구 여의도동 41, 102동 605호",2008-04-18,17,상속,,0,박두산,,,,,,0,,5,실거주 추정,N,,,,
210,서울시 영등포구 여의도동 41,대교아파트 2동 606호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최민준,010824-4******,"서울시 영등포구 여의도동 41, 102동 606호",2007-11-18,17,상속,2021년07월23일,315060000,최민준,주식회사신한은행,,,,,315060000,1,0,실거주 추정,N,,,,
211,서울시 영등포구 여의도동 41,대교아파트 2동 607호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송영수,880813-1******,"서울시 영등포구 여의도동 41, 102동 607호",2014-03-14,11,매매,,0,송영수,,,,,,0,,5,실거주 추정,N,,,,
212,서울시 영등포구 여의도동 41,대교아파트 2동 608호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신상훈,730322-1******,"서울시 영등포구 여의도동 41, 102동 608호",2015-12-30,9,증여,,0,신상훈,,,,,,0,,5,실거주 추정,N,,,,
213,서울시 영등포구 여의도동 41,대교아파트 2동 609호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,홍영수,020822-4******,"서울시 영등포구 여의도동 41, 102동 609호",2008-06-04,17,증여,2021년05월10일,297000000,홍영수,주식회사국민은행,,,,,297000000,1,5,실거주 추정,N,,,,
214,서울시 영등포구 여의도동 41,대교아파트 2동 610호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임미나,890417-1******,"서울시 영등포구 여의도동 41, 102동 610호",2006-09-11,19,매매,2019년11월29일,127320000,임미나,주식회사국민은행,,,,,127320000,1,4,실거주 추정,N,,,,
215,서울시 영등포구 여의도동 41,대교아파트 2동 611호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송상훈,531220-2******,서울시 성동구 성수동 757-90,2017-06-02,8,증여,,0,송상훈,,,,,,0,,5,세입자 가능성,N,,,,
216,서울시 영등포구 여의도동 41,대교아파트 2동 612호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,정수빈,031209-3******,"서울시 영등포구 여의도동 41, 102동 612호",2006-04-02,19,증여,,0,정수빈,,,,,,0,,5,실거주 추정,N,,,,
217,서울시 영등포구 여의도동 41,대교아파트 2동 701호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한영수,570813-2******,"서울시 영등포구 여의도동 41, 102동 701호",2020-01-03,5,증여,,0,한영수,,,,,,0,,0,실거주 추정,N,,,,
218,서울시 영등포구 여의도동 41,대교아파트 2동 702호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,권서준,040805-4******,"서울시 영등포구 여의도동 41, 102동 702호",2012-10-09,13,증여,,0,권서준,,,,,,0,,4,실거주 추정,N,,,,
219,서울시 영등포구 여의도동 41,대교아파트 2동 703호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한은서,511117-2******,"서울시 영등포구 여의도동 41, 102동 703호",2018-07-26,7,매매,2023년09월19일,757530000,한은서,주식회사우리은행,,,,,757530000,1,1,실거주 추정,N,,,,
220,서울시 영등포구 여의도동 41,대교아파트 2동 704호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서서연,040111-4******,서울시 은평구 녹번동 781-5,2022-11-25,2,매매,2010년11월07일,150950000,서서연,KB국민은행,,,,,150950000,1,3,세입자 가능성,N,,,,
221,서울시 영등포구 여의도동 41,대교아파트 2동 705호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,장예준,050918-3******,"서울시 영등포구 여의도동 41, 102동 705호",2023-03-13,2,상속,2019년12월26일,1851430000,장예준,주식회사신한은행,,,,,1851430000,1,0,실거주 추정,N,,,,
222,서울시 영등포구 여의도동 41,대교아파트 2동 706호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한혜진,001104-3******,"서울시 영등포구 여의도동 41, 102동 706호",2019-06-18,6,매매,,0,한혜진,,,,,,0,,0,실거주 추정,N,,,,
223,서울시 영등포구 여의도동 41,대교아파트 2동 707호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,조수진,940902-1******,서울시 강동구 상일동 19-61,2010-06-09,15,매매,2016년11월30일,836660000,조수진,주식회사농협은행,,,,,836660000,1,4,세입자 가능성,N,,,,
224,서울시 영등포구 여의도동 41,대교아파트 2동 708호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,정서준,040903-4******,"서울시 영등포구 여의도동 41, 102동 708호",2011-05-05,14,증여,,0,정서준,,,,,,0,,2,실거주 추정,N,,,,
225,서울시 영등포구 여의도동 41,대교아파트 2동 709호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임지민,030528-3******,"서울시 영등포구 여의도동 41, 102동 709호",2021-07-15,4,상속,2023년11월16일,162070000,임지민,주식회사국민은행,,,,,162070000,1,5,실거주 추정,N,,,,
226,서울시 영등포구 여의도동 41,대교아파트 2동 710호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신지민,000506-4******,"서울시 영등포구 여의도동 41, 102동 710호",2018-04-15,7,상속,2015년12월24일,1225540000,신지민,주식회사명동은행,,,,,1225540000,1,3,실거주 추정,N,,,,
227,서울시 영등포구 여의도동 41,대교아파트 2동 711호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,권동현,790627-2******,서울시 동작구 상도동 702-58,2011-11-06,13,증여,,0,권동현,,,,,,0,,0,세입자 가능성,N,,,,
228,서울시 영등포구 여의도동 41,대교아파트 2동 712호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,권두산,031203-4******,"서울시 영등포구 여의도동 41, 102동 712호",2014-05-27,11,매매,2012년09월04일,861020000,권두산,주식회사국민은행,,,,,861020000,1,3,실거주 추정,Y,가압류,2024년06월18일,제33317호,서울중앙지방법원
229,서울시 영등포구 여의도동 41,대교아파트 2동 801호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안현우,040916-4******,"서울시 영등포구 여의도동 41, 102동 801호",2022-06-28,3,매매,2019년06월05일,864760000,안현우,KB국민은행,,,,,864760000,1,3,실거주 추정,N,,,,
230,서울시 영등포구 여의도동 41,대교아파트 2동 802호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,홍미나,980203-1******,"서울시 영등포구 여의도동 41, 102동 802호",2006-11-18,18,증여,,0,홍미나,,,,,,0,,3,실거주 추정,N,,,,
231,서울시 영등포구 여의도동 41,대교아파트 2동 803호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최서준,510117-2******,"서울시 영등포구 여의도동 41, 102동 803호",2007-12-27,17,상속,,0,최서준,,,,,,0,,5,실거주 추정,N,,,,
232,서울시 영등포구 여의도동 41,대교아파트 2동 804호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송철수,041116-3******,"서울시 영등포구 여의도동 41, 102동 804호",2021-11-25,3,증여,2016년04월30일,583390000,송철수,주식회사통합은행,,,,,583390000,1,1,실거주 추정,N,,,,
233,서울시 영등포구 여의도동 41,대교아파트 2동 805호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최용하,790211-1******,"서울시 영등포구 여의도동 41, 102동 805호",2016-10-09,9,증여,2020년10월22일,807210000,최용하,주식회사통합은행,,,,,807210000,1,0,실거주 추정,N,,,,
234,서울시 영등포구 여의도동 41,대교아파트 2동 806호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오현우,000825-3******,"서울시 영등포구 여의도동 41, 102동 806호",2009-10-03,16,증여,,0,오현우,,,,,,0,,1,실거주 추정,N,,,,
235,서울시 영등포구 여의도동 41,대교아파트 2동 807호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,윤유진,030114-3******,"서울시 영등포구 여의도동 41, 102동 807호",2007-07-26,18,매매,2013년08월02일,413060000,윤유진,KB국민은행,,,,,413060000,1,3,실거주 추정,N,,,,
236,서울시 영등포구 여의도동 41,대교아파트 2동 808호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,박은서,041018-4******,"서울시 영등포구 여의도동 41, 102동 808호",2020-11-24,4,상속,2016년03월22일,596170000,박은서,KB국민은행,,,,,596170000,1,3,실거주 추정,N,,,,
237,서울시 영등포구 여의도동 41,대교아파트 2동 809호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서진혁,041217-4******,서울시 양천구 신월동 762-61,2006-11-03,18,매매,2016년09월18일,689290000,서진혁,주식회사등본은행,,,,,689290000,1,1,세입자 가능성,N,,,,
238,서울시 영등포구 여의도동 41,대교아파트 2동 810호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강주원,011209-4******,"서울시 영등포구 여의도동 41, 102동 810호",2018-04-19,7,증여,2022년01월28일,1593880000,강주원,KB국민은행,,,,,1593880000,1,0,실거주 추정,N,,,,
239,서울시 영등포구 여의도동 41,대교아파트 2동 811호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한시우,021010-4******,"서울시 영등포구 여의도동 41, 102동 811호",2017-02-12,8,매매,2019년05월22일,1794930000,한시우,주식회사하나은행,,,,,1794930000,1,0,실거주 추정,N,,,,
240,서울시 영등포구 여의도동 41,대교아파트 2동 812호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,홍두산,020119-3******,"서울시 영등포구 여의도동 41, 102동 812호",2005-11-06,19,매매,2015년01월30일,613760000,홍두산,주식회사농협은행,,,,,613760000,1,5,실거주 추정,N,,,,
241,서울시 영등포구 여의도동 41,대교아파트 2동 901호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강영희,511124-1******,서울시 양천구 목동 569-23,2011-09-25,14,매매,2018년04월16일,1120270000,강영희,KB국민은행,,,,,1120270000,1,1,세입자 가능성,N,,,,
242,서울시 영등포구 여의도동 41,대교아파트 2동 902호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,윤예준,910128-1******,"서울시 영등포구 여의도동 41, 102동 902호",2014-07-03,11,증여,2015년01월20일,350990000,윤예준,주식회사농협은행,,,,,350990000,1,5,실거주 추정,N,,,,
243,서울시 영등포구 여의도동 41,대교아파트 2동 903호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황시우,770904-2******,"서울시 영등포구 여의도동 41, 102동 903호",2015-02-16,10,상속,2018년02월07일,168260000,황시우,주식회사하나은행,,,,,168260000,1,1,실거주 추정,N,,,,
244,서울시 영등포구 여의도동 41,대교아파트 2동 904호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서예준,651209-1******,"서울시 영등포구 여의도동 41, 102동 904호",2017-04-29,8,증여,2020년02월05일,397230000,서예준,주식회사한솔은행,,,,,397230000,1,1,실거주 추정,N,,,,
245,서울시 영등포구 여의도동 41,대교아파트 2동 905호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최영희,010501-3******,"서울시 영등포구 여의도동 41, 102동 905호",2024-06-23,1,매매,2011년04월17일,311110000,최영희,주식회사국민은행,,,,,311110000,1,1,실거주 추정,N,,,,
246,서울시 영등포구 여의도동 41,대교아파트 2동 906호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,장보미,020517-4******,"서울시 영등포구 여의도동 41, 102동 906호",2013-02-28,12,매매,2024년08월03일,542550000,장보미,주식회사등본은행,,,,,542550000,1,4,실거주 추정,N,,,,
247,서울시 영등포구 여의도동 41,대교아파트 2동 907호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,이수빈,570219-1******,서울시 관악구 조원동 844-9,2021-04-27,4,매매,2022년05월17일,153790000,이수빈,주식회사통합은행,,,,,153790000,1,4,세입자 가능성,N,,,,
248,서울시 영등포구 여의도동 41,대교아파트 2동 908호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,정민준,910407-2******,서울시 강남구 역삼동 700-57,2019-03-22,6,증여,2010년11월30일,692630000,정민준,주식회사농협은행,,,,,692630000,1,2,세입자 가능성,N,,,,
249,서울시 영등포구 여의도동 41,대교아파트 2동 909호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최유진,831223-1******,"서울시 영등포구 여의도동 41, 102동 909호",2012-12-21,12,매매,2024년06월23일,990360000,최유진,주식회사우리은행,,,,,990360000,1,2,실거주 추정,N,,,,
250,서울시 영등포구 여의도동 41,대교아파트 2동 910호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,송서연,660304-2******,"서울시 영등포구 여의도동 41, 102동 910호",2007-03-18,18,증여,,0,송서연,,,,,,0,,5,실거주 추정,N,,,,
251,서울시 영등포구 여의도동 41,대교아파트 2동 911호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최주원,030119-3******,서울시 성북구 안암동 484-78,2020-02-16,5,매매,2020년05월11일,932100000,최주원,주식회사통합은행,,,,,932100000,1,5,세입자 가능성,N,,,,
252,서울시 영등포구 여의도동 41,대교아파트 2동 912호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한기태,660617-1******,"서울시 영등포구 여의도동 41, 102동 912호",2016-05-03,9,매매,2014년09월29일,1681680000,한기태,주식회사통합은행,,,,,1681680000,1,2,실거주 추정,N,,,,
253,서울시 영등포구 여의도동 41,대교아파트 2동 1001호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오주원,010403-4******,"서울시 영등포구 여의도동 41, 102동 1001호",2012-06-21,13,매매,2013년08월19일,129430000,오주원,주식회사통합은행,,,,,129430000,1,3,실거주 추정,N,,,,
254,서울시 영등포구 여의도동 41,대교아파트 2동 1002호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안지우,840717-2******,"서울시 영등포구 여의도동 41, 102동 1002호",2022-11-16,2,증여,2015년12월15일,626120000,안지우,주식회사하나은행,,,,,626120000,1,1,실거주 추정,N,,,,
255,서울시 영등포구 여의도동 41,대교아파트 2동 1003호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황수진,021211-3******,서울시 성동구 옥수동 547-94,2020-08-23,5,상속,,0,황수진,,,,,,0,,3,세입자 가능성,N,,,,
256,서울시 영등포구 여의도동 41,대교아파트 2동 1004호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강은서,020602-4******,"서울시 영등포구 여의도동 41, 102동 1004호",2019-09-22,6,매매,,0,강은서,,,,,,0,,1,실거주 추정,N,,,,
257,서울시 영등포구 여의도동 41,대교아파트 2동 1005호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황용하,730302-1******,"서울시 영등포구 여의도동 41, 102동 1005호",2012-10-15,12,매매,2014년09월09일,842530000,황용하,주식회사등본은행,,,,,842530000,1,2,실거주 추정,N,,,,
258,서울시 영등포구 여의도동 41,대교아파트 2동 1006호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,박미경,050920-3******,서울시 중구 을지로 815-61,2007-09-06,18,증여,,0,박미경,,,,,,0,,2,세입자 가능성,N,,,,
259,서울시 영등포구 여의도동 41,대교아파트 2동 1007호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,권민준,980422-2******,"서울시 영등포구 여의도동 41, 102동 1007호",2015-09-28,10,상속,2022년10월23일,704180000,권민준,주식회사국민은행,,,,,704180000,1,2,실거주 추정,N,,,,
260,서울시 영등포구 여의도동 41,대교아파트 2동 1008호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한민준,000420-4******,"서울시 영등포구 여의도동 41, 102동 1008호",2007-04-16,18,상속,2014년11월14일,860990000,한민준,주식회사우리은행,,,,,860990000,1,2,실거주 추정,N,,,,
261,서울시 영등포구 여의도동 41,대교아파트 2동 1009호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오지우,020310-3******,"서울시 영등포구 여의도동 41, 102동 1009호",2011-06-12,14,상속,2011년01월23일,130840000,오지우,주식회사국민은행,,,,,130840000,1,0,실거주 추정,N,,,,
262,서울시 영등포구 여의도동 41,대교아파트 2동 1010호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,장기태,640124-1******,서울시 동작구 노량진동 35-49,2015-10-30,9,상속,2018년07월23일,826810000,장기태,주식회사우리은행,,,,,826810000,1,0,세입자 가능성,N,,,,
263,서울시 영등포구 여의도동 41,대교아파트 2동 1011호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강두산,000905-3******,"서울시 영등포구 여의도동 41, 102동 1011호",2021-11-28,3,매매,,0,강두산,,,,,,0,,4,실거주 추정,N,,,,
264,서울시 영등포구 여의도동 41,대교아파트 2동 1012호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,홍미나,960810-1******,서울시 노원구 중계동 942-5,2010-11-06,14,상속,2022년09월16일,819360000,홍미나,주식회사통합은행,,,,,819360000,1,2,세입자 가능성,N,,,,
265,서울시 영등포구 여의도동 41,대교아파트 2동 1101호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,조혜진,001225-3******,"서울시 영등포구 여의도동 41, 102동 1101호",2012-04-08,13,증여,,0,조혜진,,,,,,0,,3,실거주 추정,N,,,,
266,서울시 영등포구 여의도동 41,대교아파트 2동 1102호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,정도윤,680223-1******,"서울시 영등포구 여의도동 41, 102동 1102호",2015-07-10,10,상속,2024년10월10일,171330000,정도윤,주식회사신한은행,,,,,171330000,1,1,실거주 추정,N,,,,
267,서울시 영등포구 여의도동 41,대교아파트 2동 1103호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,김민준,650208-1******,"서울시 영등포구 여의도동 41, 102동 1103호",2016-02-17,9,상속,2017년09월26일,315420000,김민준,주식회사명동은행,,,,,315420000,1,1,실거주 추정,N,,,,
268,서울시 영등포구 여의도동 41,대교아파트 2동 1104호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신혜진,021126-3******,서울시 서대문구 충정로 935-1,2007-06-13,18,증여,2012년05월21일,426770000,신혜진,주식회사우리은행,,,,,426770000,1,4,세입자 가능성,N,,,,
269,서울시 영등포구 여의도동 41,대교아파트 2동 1105호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,류서연,930114-2******,"서울시 영등포구 여의도동 41, 102동 1105호",2020-03-25,5,상속,,0,류서연,,,,,,0,,1,실거주 추정,Y,가압류,2024년08월19일,제92776호,서울중앙지방법원
270,서울시 영등포구 여의도동 41,대교아파트 2동 1106호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안상훈,510313-2******,서울시 동대문구 답십리동 385-35,2007-09-04,18,상속,2023년04월15일,355610000,안상훈,주식회사하나은행,,,,,355610000,1,5,세입자 가능성,N,,,,
271,서울시 영등포구 여의도동 41,대교아파트 2동 1107호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황수진,620116-1******,"서울시 영등포구 여의도동 41, 102동 1107호",2022-02-14,3,증여,2023년06월18일,277180000,황수진,KB국민은행,,,,,277180000,1,5,실거주 추정,N,,,,
272,서울시 영등포구 여의도동 41,대교아파트 2동 1108호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,윤현우,010309-4******,서울시 서초구 양재동 492-39,2023-03-25,2,매매,2014년11월11일,898540000,윤현우,주식회사하나은행,,,,,898540000,1,5,세입자 가능성,N,,,,
273,서울시 영등포구 여의도동 41,대교아파트 2동 1109호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한은서,040206-4******,서울시 광진구 구의동 121-78,2012-02-24,13,매매,2020년10월01일,809370000,한은서,주식회사통합은행,,,,,809370000,1,1,세입자 가능성,N,,,,
274,서울시 영등포구 여의도동 41,대교아파트 2동 1110호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서기태,040519-3******,"서울시 영등포구 여의도동 41, 102동 1110호",2022-07-05,3,상속,2020년12월01일,646780000,서기태,주식회사등본은행,,,,,646780000,1,5,실거주 추정,N,,,,
